,2020
"Ackermann, Gail",2018
"Aksenov, Alexander",2018
"Akseshina, Margarita",2018
"Al-Ghalith, Gabriel A",2019
"Alexander, Kelsey L",2019
"Alexiev, Alexandra",2017
"Alfthan, Georg",2020
"Allen, Eric E",2018
"Alm, Eric J",2017
"Amato, Katherine",2020
"Amato, Katherine R",2019
"Amir, Amnon",2019
"Andersson, Siv GE",2018
"Arcila Hernández, Lina M",2017
"Arthur, Timothy D",2019
"Asnicar, Francesco",2019
"Baker, Christopher CM",2016
"Baldassarre, Daniel T",2019
"Bayona-Vásquez, Natalia J",2019
"Belda-Ferre, Pedro",2019
"Benitez, Rodolfo AS",2018
"Bentley, Kerin E",2019
"Bisch, Gaelle",2018
"Bittleston, Leonora S",2016
"Bjorkman, PJ",2018
"Bletz, Molly C",2019
"Bouslimani, Amina",2019
"Byrne, Marcus J",2016
"Callewaert, Chris",2018
"Cao, Liu",2019
"Chau, Linh",2017
"Chaves, Jaime A",2019
"Chen, Feng",2019
"Cheng, Susan",2020
"Chomel, Bruno B",2019
"Chou, W-C",2018
"Clark, Andrew G",2017
"Conner, ME",2018
"Davenport, Emily R",2017
"DeReus, Jeff",2018
"Debelius, Justine",2018
"Delsuc, Frédéric",2020
"Donaldson, GP",2018
"D’Amelio, Catherine L",2018
"Earl, AM",2018
"Fang, Xin",2018
"Fedarko, Marcus",2019
"Fierer, Noah",2019
"Finger, John W",2019
"Frederickson, Megan E",2017
"Gemmell, Christopher",2018
"Gianetto-Hill, Connor",2018
"Gibbons, Sean M",2017
"Gilbert, Jack A",2019
"Glenn, Travis C",2019
"Glukhov, Evgenia",2019
"Gonzalez, Antonio",2018
"Graves, Gary R",2020
"Groussin, Mathieu",2017
"Gurevich, Alexey",2019
"Hammer, Tobin J",2019
"Havulinna, Aki S",2020
"Hefner, Ying",2019
"Hoffberg, Sandra L",2019
"Holway, David A",2017
"Hu, Yi",2018
"Huang, Shi",2019
"Humphrey, Greg",2019
"Humphrey, Gregory",2019
"Hyde, Embriette R",2017
"Inouye, Michael",2020
"Janssen, Stefan",2019
"Jiang, Lingjing",2019
"Johnson, Nicholas S",2019
"Kaltenpoth, Martin",2016
"Kay, Adam D",2017
"Kieran, Troy J",2019
"King, Zachary A",2019
"Knight, R",2018
"Knight, Rob",2019
"Kocher, Sarah D",2018
"Koga, Ryuichi",2018
"Kopylova, Evguenia",2019
"Korpita, Timothy M",2017
"Kosciolek, Tomasz",2018
"Kowalewski, Martin",2017
"Kronauer, Daniel JC",2018
"Ladau, Joshua",2017
"Ladinsky, MS",2018
"Laitinen, Ville",2020
"Lan, Yemin",2018
"Lavergne, Sébastien",2017
"LeBrun, Edward G",2017
"Leung, Nelly",2018
"Leão, Tiago",2019
"Lin, Jonathan Y",2016
"Lloyd, Colton J",2019
"Locey, Kenneth J",2017
"Louha, Swarnali",2019
"Lutz, Holly L",2020
"Luzzatto-Knaan, Tal",2019
"Mai, Uyen",2019
"Marotz, Clarisse",2018
"Marotz, Clarisse A",2018
"Martino, Cameron",2019
"Mazel, Florent",2020
"McCall, Laura-Isobel",2018
"McDonald, Daniel",2019
"McKenzie, Valerie J",2019
"Meric, Guillaume",2020
"Metcalf, Jessica",2020
"Metcalf, Jessica L",2019
"Millar, John S",2018
"Miller, Gabriel A",2017
"Miller, Katie A",2017
"Minich, Jeremiah",2019
"Minich, Jeremiah J",2019
"Monk, Jonathan M",2018
"Moreau, Corrie S",2017
"Morton, James T",2019
"Naman, C Benjamin",2019
"Navas-Molina, Jose A",2018
"Neuvonen, Minna-Maria",2018
"Newton, Justin A",2018
"Nilsen, Roger A",2019
"Nováková, Eva",2019
"Nurk, Sergey",2019
"Nute, Michael",2019
"O'Donnell, Sean",2017
"Oliverio, Angela M",2018
"Olson, Connor A",2019
"Orchanian, Stephanie B",2018
"O’Brien, Edward J",2019
"Perola, Markus",2020
"Pfeiffer, Wayne",2019
"Phaneuf, Patrick V",2019
"Piaggio, Antoinette J",2019
"Pierce, Naomi E",2018
"Pierson, Todd W",2019
"Prest, Tiffany L",2017
"Prill, Robert J",2017
"Quinn, Robby",2019
"Quinn, Robert A",2017
"Ravenscraft, Alison",2017
"Rubin, Benjamin ER",2018
"Russell, Jacob A",2018
"Salido, Rodolfo A",2019
"Salosensaari, Aaro",2020
"Salzman, Shayla",2016
"Sandberg, Troy E",2019
"Sanders, JG",2018
"Sanders, Jon",2019
"Sanders, Jon G",2020
"Sanders, Karenina",2019
"Schotanus, Mark",2018
"Shukla, Shantanu P",2016
"Smarr, Larry",2018
"Smillie, Chris S",2017
"Song, Se Jin",2020
"Stuckey, Matthew J",2019
"Suarez, Andrew V",2017
"Swafford, Austin",2018
"Swafford, Austin D",2018
"Szubin, Richard",2018
"Taylor, Bryn C",2018
"Taylor, Michael W",2020
"Thompson, Luke R",2019
"Thuiller, Wilfried",2017
"Tripathi, Anupriya",2019
"Turner, Kyle M",2018
"Valsta, Liisa",2020
"Vann, David R",2018
"Vargas, Fernando",2019
"Vrbanac, Alison",2018
"Vázquez-Baeza, Yoshiki",2018
"Washburne, Alex D",2018
"Watrous, Jeramie D",2020
"Wertz, John T",2016
"Whitaker, Melissa RL",2016
"Winker, Kevin",2020
"Xu, Zhenjiang Z",2019
"Xu, Zhenjiang Zech",2019
"Yoo, BB",2018
"Yu, KB",2018
"Zaramela, Livia S",2018
"Zengler, Karsten",2018
"Zhu, Qiyun",2019
"Zuniga, Cristal",2018
"Łukasik, Piotr",2018
