,year,affiliation,Organization,Department
"Lin, Jonathan Y",2017,"Department of Biology, Calvin College, Grand Rapids, MI, USA.", Calvin College,Department of Biology
"Russell, Jacob A",2018,"Department of Biology, Drexel University.", Drexel University.,Department of Biology
"Sanders, Jon G",2020,"Department of Pediatrics, School of Medicine, University of California San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics School of Medicine
"Wertz, John T",2018,"Department of Biology, Calvin College, Grand Rapids, MI, 49546, USA.", Calvin College,Department of Biology
"Baker, Christopher C M",2016,"Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA 02138, USA.", Harvard University,Department of Organismic and Evolutionary Biology
"Bittleston, Leonora S",2016,"Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA 02138, USA.", Harvard University,Department of Organismic and Evolutionary Biology
"Pierce, Naomi E",2018,"Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA, USA.", Harvard University,Department of Organismic and Evolutionary Biology
"Shukla, Shantanu P",2016,"Department of Organismic and Evolutionary Biology, Harvard University, 26 Oxford Street, Cambridge, 02138, MA, USA.", Harvard University,Department of Organismic and Evolutionary Biology
"Byrne, Marcus J",2016,"School of Animal, Plant, and Environmental Sciences, University of Witwatersrand, Wits, 2050, South Africa.", University of Witwatersrand,School of Animal Plant and Environmental Sciences
"Hu, Yi",2018,"Department of Biology, Drexel University, Philadelphia, PA, 19104, USA. yh332@drexel.edu.", Drexel University,Department of Biology
"Holway, David A",2016,"Division of Biological Sciences, University of California-San Diego, La Jolla, CA, 92093, USA.", University of California-San Diego,Division of Biological Sciences
"Łukasik, Piotr",2018,"Department of Biology, Drexel University, Philadelphia, PA, 19104, USA.", Drexel University,Department of Biology
"Chau, Linh",2016,"Department of Biology, Drexel University, Philadelphia, PA, 19104, USA.", Drexel University,Department of Biology
"Kay, Adam D",2016,"Department of Biology, University of St. Thomas, St. Paul, MN, 55105, USA.", University of St. Thomas,Department of Biology
"LeBrun, Edward G",2016,"Department of Integrative Biology, The University of Texas at Austin, Austin, TX, 78703, USA.", The University of Texas at Austin,Department of Integrative Biology
"Miller, Katie A",2016,"Department of Biology, University of St. Thomas, St. Paul, MN, 55105, USA.", University of St. Thomas,Department of Biology
"Suarez, Andrew V",2016,"Department of Animal Biology, University of Illinois Urbana-Champaign, Urbana, IL, 61801, USA.", University of Illinois Urbana-Champaign,Department of Animal Biology
"Groussin, Mathieu",2017,"Center for Microbiome Informatics and Therapeutics, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.
Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.", Massachusetts Institute of Technology,Center for Microbiome Informatics and Therapeutics
"Mazel, Florent",2020,"Department of Botany, Biodiversity Research Centre, University of British Columbia, Vancouver, British Columbia, Canada.", University of British Columbia,Department of Botany Biodiversity Research Centre
"Smillie, Chris S",2017,"Center for Microbiome Informatics and Therapeutics, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.
Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.
The Broad Institute of MIT and Harvard, 415 Main Street Cambridge, Massachusetts 02142, USA.", Massachusetts Institute of Technology,Center for Microbiome Informatics and Therapeutics
"Lavergne, Sébastien",2017,"Laboratoire d Ecologie Alpine, CNRS, University of Grenoble Alpes, FR-38041, Grenoble Cedex 9, France.", University of Grenoble Alpes,Laboratoire d Ecologie Alpine CNRS
"Thuiller, Wilfried",2017,"Laboratoire d Ecologie Alpine, CNRS, University of Grenoble Alpes, FR-38041, Grenoble Cedex 9, France.", University of Grenoble Alpes,Laboratoire d Ecologie Alpine CNRS
"Alm, Eric J",2017,"Center for Microbiome Informatics and Therapeutics, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.
Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.
The Broad Institute of MIT and Harvard, 415 Main Street Cambridge, Massachusetts 02142, USA.", Massachusetts Institute of Technology,Center for Microbiome Informatics and Therapeutics
"Newton, Justin A",2018,"Department of Biology, Drexel University, Philadelphia, PA, 19104, USA.", Drexel University,Department of Biology
"Moreau, Corrie S",2018,"Department of Science and Education, Field Museum of Natural History, Chicago, IL, 60605, USA.", Field Museum of Natural History,Department of Science and Education
"Kronauer, Daniel J C",2018,"Laboratory of Social Evolution and Behavior, The Rockefeller University, New York, NY, 10065, USA.", The Rockefeller University,Laboratory of Social Evolution and Behavior
"O'Donnell, Sean",2017,"Department of Biology, Drexel University, Philadelphia, PA, USA.", Drexel University,Department of Biology
"Koga, Ryuichi",2018,"Bioproduction Research Institute, National Institute of Advanced Industrial Science and Technology, Tsukuba, Japan.", National Institute of Advanced Industrial Science and Technology,Bioproduction Research Institute
"Arcila Hernández, Lina M",2017,"Department of Ecology & Evolutionary Biology, University of Toronto, 25 Willcocks Street, Toronto, Ontario M5S 3B2, Canada.", University of Toronto,Department of Ecology & Evolutionary Biology
